location,primary_source,mistry_2021,prem_2021,prem_2017
Sweden,mistry_2021,True,True,True
Switzerland,mistry_2021,True,True,True
Syrian_Arab_Republic,prem_2021,False,True,True
Taiwan,prem_2017,False,False,True
Tajikistan,prem_2021,False,True,True
Tanzania,prem_2021,False,True,True
Thailand,prem_2021,False,True,True
Timor-Leste,prem_2021,False,True,True
Togo,prem_2021,False,True,False
Tonga,prem_2021,False,True,True
Trinidad_and_Tobago,prem_2021,False,True,False
Tunisia,prem_2021,False,True,True
Turkey,prem_2021,False,True,True
Turkmenistan,prem_2021,False,True,False
Uganda,prem_2021,False,True,True
Ukraine,prem_2021,False,True,True
United_Arab_Emirates,prem_2021,False,True,True
United_Kingdom,mistry_2021,True,True,True
United_States,mistry_2021,True,True,True
United_States_Alabama,mistry_2021,True,False,False
United_States_Alaska,mistry_2021,True,False,False
United_States_Arizona,mistry_2021,True,False,False
United_States_Arkansas,mistry_2021,True,False,False
United_States_California,mistry_2021,True,False,False
United_States_Colorado,mistry_2021,True,False,False
United_States_Connecticut,mistry_2021,True,False,False
United_States_Delaware,mistry_2021,True,False,False
United_States_District_of_Columbia,mistry_2021,True,False,False
United_States_Florida,mistry_2021,True,False,False
United_States_Georgia,mistry_2021,True,False,False
United_States_Hawaii,mistry_2021,True,False,False
United_States_Idaho,mistry_2021,True,False,False
United_States_Illinois,mistry_2021,True,False,False
United_States_Indiana,mistry_2021,True,False,False
United_States_Iowa,mistry_2021,True,False,False
United_States_Kansas,mistry_2021,True,False,False
United_States_Kentucky,mistry_2021,True,False,False
United_States_Louisiana,mistry_2021,True,False,False
United_States_Maine,mistry_2021,True,False,False
United_States_Maryland,mistry_2021,True,False,False
United_States_Massachusetts,mistry_2021,True,False,False
United_States_Michigan,mistry_2021,True,False,False
United_States_Minnesota,mistry_2021,True,False,False
United_States_Mississippi,mistry_2021,True,False,False
United_States_Missouri,mistry_2021,True,False,False
United_States_Montana,mistry_2021,True,False,False
United_States_Nebraska,mistry_2021,True,False,False
United_States_Nevada,mistry_2021,True,False,False
United_States_New_Hampshire,mistry_2021,True,False,False
United_States_New_Jersey,mistry_2021,True,False,False
United_States_New_Mexico,mistry_2021,True,False,False
United_States_New_York,mistry_2021,True,False,False
United_States_North_Carolina,mistry_2021,True,False,False
United_States_North_Dakota,mistry_2021,True,False,False
United_States_Ohio,mistry_2021,True,False,False
United_States_Oklahoma,mistry_2021,True,False,False
United_States_Oregon,mistry_2021,True,False,False
United_States_Pennsylvania,mistry_2021,True,False,False
United_States_Puerto_Rico,mistry_2021,True,False,False
United_States_Rhode_Island,mistry_2021,True,False,False
United_States_South_Carolina,mistry_2021,True,False,False
United_States_South_Dakota,mistry_2021,True,False,False
United_States_Tennessee,mistry_2021,True,False,False
United_States_Texas,mistry_2021,True,False,False
United_States_Utah,mistry_2021,True,False,False
United_States_Vermont,mistry_2021,True,False,False
United_States_Virginia,mistry_2021,True,False,False
United_States_Washington,mistry_2021,True,False,False
